feature	train_mean	train_std	test_mean	test_std
Locus_5_A5	0.716093	0.113213	0.754038	0.095786
Locus_9_A9	0.51122	0.093697	0.488336	0.10286
Locus_1_A4	0.421858	0.05871	0.35701	0.088017
Locus_10_A19	0.409077	0.075851	0.401961	0.088773
Locus_5_A16	0.362049	0.06124	0.455108	0.110873
Locus_6_A4	0.293947	0.065476	0.420925	0.123902
Locus_1_A12	0.285223	0.055976	0.407507	0.118665
Locus_4_A7	0.209723	0.028924	0.145247	0.033613
Locus_9_A7	0.170956	0.022322	0.118881	0.02156
Locus_8_A13	0.168812	0.020935	0.116711	0.02163
Locus_10_A13	0.164115	0.019987	0.109683	0.019378
Locus_2_A13	0.151386	0.037408	0.313925	0.082276
Locus_9_A3	0.118838	0.017597	0.452224	0.127418
Locus_3_A16	0.106314	0.013323	0.103097	0.022761
Locus_4_A17	0.106314	0.013323	0.103097	0.022761
Locus_5_A8	0.098212	0.009391	0.063387	0.012481
Locus_3_A6	0.096714	0.016751	0.076788	0.015442
Locus_6_A9	0.089834	0.011495	0.057158	0.014525
Locus_10_A2	0.069483	0.010008	0.264927	0.07562
Locus_8_A8	0.06648	0.061031	0.110267	0.051687
Locus_9_A10	0.061479	0.019496	-0.006554	0.015389
Locus_5_A11	0.051894	0.026721	-0.021677	0.018824
Locus_10_A16	0.0446	0.026766	-0.017406	0.023232
Locus_3_A9	0.041124	0.027613	-0.017534	0.022014
Locus_4_A10	0.040874	0.017892	-0.047426	0.023861
Locus_2_missing	0.027556	0.017402	-0.007955	0.014433
Locus_9_A4	0.019455	0.013002	0.041691	0.010818
Locus_7_A3	0.017416	0.005883	-0.002313	0.005365
Locus_3_missing	0.014847	0.004791	0.0	0.0
Locus_6_A14	0.010985	0.007579	0.00681	0.007929
Locus_3_A8	0.006087	0.007813	0.030736	0.033926
Locus_10_A10	0.00588	0.003436	0.032401	0.008998
Locus_10_A8	0.005668	0.004127	0.017048	0.034204
Locus_8_A3	0.004008	0.003093	0.029488	0.007238
Locus_4_A15	0.003971	0.01522	0.027819	0.009668
Locus_4_A4	0.003927	0.003737	0.031539	0.010994
Locus_2_A5	0.001153	0.000287	0.00151	0.000462
Locus_10_A17	0.00105	0.000284	9.7e-05	0.000194
Locus_9_A12	0.00016	0.000103	9.7e-05	0.000194
Locus_4_A5	8.4e-05	0.000157	0.000378	0.000462
Locus_2_A9	8.4e-05	9.6e-05	0.0	0.0
Locus_3_A3	0.0	0.0	0.0	0.0
Locus_7_A8	0.0	0.0	0.0	0.0
Locus_7_A14	0.0	0.0	0.0	0.0
Locus_7_A15	0.0	0.0	0.0	0.0
Locus_7_A7	0.0	0.0	0.0	0.0
Locus_1_A3	0.0	0.0	0.0	0.0
Locus_8_A5	0.0	0.0	0.0	0.0
Locus_8_A7	0.0	0.0	0.0	0.0
Locus_6_A6	0.0	0.0	0.0	0.0
Locus_8_missing	0.0	0.0	0.0	0.0
Locus_1_A1	0.0	0.0	0.0	0.0
Locus_1_A8	0.0	0.0	0.0	0.0
Locus_7_A10	0.0	0.0	0.0	0.0
Locus_6_A5	0.0	0.0	0.0	0.0
Locus_2_A15	0.0	0.0	0.0	0.0
Locus_4_A16	0.0	0.0	0.0	0.0
Locus_3_A18	0.0	0.0	0.0	0.0
Locus_4_A2	0.0	0.0	0.0	0.0
Locus_3_A15	0.0	0.0	0.0	0.0
Locus_5_A15	0.0	0.0	0.0	0.0
Locus_2_A8	0.0	0.0	0.0	0.0
Locus_5_A17	0.0	0.0	0.0	0.0
Locus_5_A18	0.0	0.0	0.0	0.0
Locus_5_A3	0.0	0.0	0.0	0.0
Locus_2_A7	0.0	0.0	0.0	0.0
Locus_5_A7	-0.0	1e-06	0.0	0.0
Locus_5_missing	0.0	0.0	0.0	0.0
Locus_2_A2	0.0	0.0	0.0	0.0
Locus_1_A6	-0.000829	0.011516	0.016265	0.01518
Locus_1_A7	-0.001549	0.000684	-0.00101	0.001014
Locus_7_A5	-0.001734	0.004082	0.000789	0.000321
Locus_4_missing	-0.002026	0.006078	0.0	0.0
Locus_8_A6	-0.002102	0.001483	3.2e-05	6e-06
Locus_7_A6	-0.002228	0.002068	-0.000236	0.002522
Locus_10_A18	-0.003018	0.010682	0.00372	0.010267
Locus_9_A8	-0.003047	0.008825	0.017298	0.018429
Locus_7_missing	-0.003699	0.000835	0.002031	0.005216
Locus_3_A14	-0.008896	0.003533	-0.086321	0.034544
Locus_8_A2	-0.011705	0.002732	-0.003144	0.002905
