feature	importance
Locus_3_A9	13.612678
Locus_10_A19	9.800275
Locus_9_A9	9.798158
Locus_9_A8	9.320024
Locus_3_A8	7.937272
Locus_5_A5	5.604919
Locus_4_A17	5.006295
Locus_2_A13	4.843436
Locus_5_A16	4.842922
Locus_1_A12	4.842398
Locus_6_A4	4.842306
Locus_10_A13	4.778168
Locus_9_A7	4.777826
Locus_8_A13	4.777745
Locus_6_A9	4.777576
Locus_1_A4	4.121123
Locus_3_A6	3.814538
Locus_7_A5	3.739524
Locus_4_A4	3.044728
Locus_10_A10	3.044436
Locus_9_A4	3.04431
Locus_8_A3	3.044105
Locus_8_A8	3.041917
Locus_1_A7	2.636805
Locus_2_A2	2.085866
Locus_5_A18	2.039182
Locus_6_A6	1.988917
Locus_6_A14	1.813209
Locus_3_A15	1.795486
Locus_4_A16	1.795113
Locus_3_A14	1.708475
Locus_2_A8	1.665682
Locus_2_A5	1.436064
Locus_3_A3	1.426731
Locus_7_A6	1.250065
Locus_4_A15	1.09894
Locus_7_A10	1.066691
Locus_4_A7	1.033517
Locus_3_A16	0.968274
Locus_7_A3	0.880882
Locus_8_A2	0.8807
Locus_10_A18	0.834235
Locus_2_A7	0.833811
Locus_1_A6	0.832442
Locus_8_A6	0.761672
Locus_8_A7	0.669422
Locus_5_A8	0.629645
Locus_7_A7	0.427107
Locus_6_A5	0.241561
Locus_1_A8	0.086418
