feature	train_mean	train_std	test_mean	test_std
Locus_9_A8	4.079141	0.198716	3.651235	0.243837
Locus_10_A19	3.5566	0.250322	3.34935	0.448627
Locus_9_A9	3.555521	0.250284	3.348306	0.448546
Locus_3_A9	2.576091	0.227781	0.888333	0.069995
Locus_3_A8	2.108494	0.12986	2.376082	0.285769
Locus_2_A13	1.214714	0.154704	1.19977	0.318157
Locus_5_A16	1.214496	0.15469	1.199584	0.318125
Locus_1_A12	1.214274	0.154675	1.199396	0.318092
Locus_6_A4	1.214235	0.154673	1.199363	0.318086
Locus_10_A13	1.046311	0.187265	0.565828	0.183183
Locus_9_A7	1.046185	0.187255	0.56575	0.183173
Locus_8_A13	1.046156	0.187252	0.565732	0.183171
Locus_6_A9	1.046094	0.187247	0.565693	0.183166
Locus_5_A5	1.003189	0.160759	0.749987	0.387448
Locus_1_A4	0.834571	0.084236	0.568879	0.196224
Locus_4_A17	0.827048	0.148108	0.523887	0.186208
Locus_3_A6	0.799495	0.169821	0.591504	0.157242
Locus_8_A8	0.637895	0.076298	0.559235	0.164378
Locus_7_A5	0.594064	0.082761	0.823942	0.24655
Locus_1_A7	0.453696	0.074629	0.09859	0.162112
Locus_4_A4	0.449859	0.071625	0.180005	0.181261
Locus_10_A10	0.449778	0.071619	0.179967	0.181246
Locus_9_A4	0.449743	0.071617	0.179951	0.18124
Locus_8_A3	0.449686	0.071613	0.179924	0.18123
Locus_6_A6	0.297567	0.062938	0.147672	0.091058
Locus_3_A15	0.208152	0.062382	0.156005	0.083295
Locus_4_A16	0.208069	0.06237	0.155954	0.083281
Locus_5_A18	0.208064	0.04403	0.04628	0.053454
Locus_2_A2	0.207187	0.048268	0.105034	0.08222
Locus_6_A14	0.180333	0.053058	0.122318	0.026795
Locus_3_A14	0.163367	0.047788	-0.136855	0.094383
Locus_2_A5	0.144531	0.055692	0.079673	0.095233
Locus_2_A8	0.117236	0.048137	0.191598	0.098474
Locus_3_A3	0.095975	0.039445	0.028557	0.092109
Locus_7_A6	0.085533	0.039148	-0.049298	0.102433
Locus_4_A7	0.064857	0.036488	0.049247	0.057527
Locus_4_A15	0.058652	0.029334	0.156775	0.059768
Locus_7_A10	0.056482	0.040095	0.036258	0.055642
Locus_10_A18	0.051301	0.025045	0.071183	0.05337
Locus_2_A7	0.051249	0.025032	0.071129	0.053346
Locus_1_A6	0.051081	0.024992	0.070957	0.053268
Locus_7_A3	0.0359	0.016685	-0.008392	0.011259
Locus_8_A2	0.035886	0.016681	-0.008392	0.011257
Locus_3_A16	0.031229	0.031065	0.039896	0.039884
Locus_5_A8	0.028175	0.032291	0.03068	0.039875
Locus_7_A7	0.025715	0.021451	-0.023059	0.030448
Locus_8_A6	0.020969	0.015498	0.098512	0.047749
Locus_8_A7	0.020117	0.020807	0.052597	0.05485
Locus_6_A5	0.003997	0.00642	0.014062	0.015686
Locus_1_A8	0.000262	0.002944	0.002033	0.004173
