scores	parameters
-3.006700277328491	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0067003965377808	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0067004919052125	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.006700539588928	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.006700563430786	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.00670063495636	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.006700944900513	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.006700944900513	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.0067010879516602	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0067012310028076	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.0067012310028076	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.0067013025283815	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.006701421737671	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.006701421737671	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.006701421737671	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-05, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0067014694213867	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-06, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
-3.0067014932632445	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 1e-06, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.0067014932632445	'model__alpha_1': 1e-06, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-06, 'model__max_iter': 300, 'model__tol': 0.01
-3.00670166015625	'model__alpha_1': 1e-05, 'model__alpha_2': 1e-05, 'model__compute_score': False, 'model__fit_intercept': True, 'model__lambda_1': 0.0001, 'model__lambda_2': 1e-05, 'model__max_iter': 300, 'model__tol': 0.01
