feature	importance
Locus_1_A12	58.763032
Locus_10_A16	11.889296
Locus_2_A13	8.361116
Locus_10_A10	4.791839
Locus_10_A18	4.050944
Locus_2_A9	3.600842
Locus_3_A14	2.195189
Locus_10_A2	1.835356
Locus_1_A6	1.076775
Locus_1_A1	1.062961
Locus_10_A19	0.604812
Locus_10_A13	0.588675
Locus_1_A4	0.42566
Locus_1_A3	0.207485
Locus_1_A8	0.108041
Locus_3_A16	0.094869
Locus_10_A17	0.084234
Locus_2_missing	0.06861
Locus_2_A7	0.052609
Locus_2_A5	0.052133
Locus_2_A8	0.041686
Locus_10_A8	0.018967
Locus_3_A15	0.018818
Locus_1_A7	0.003561
Locus_2_A2	0.002489
