feature	train_mean	train_std	test_mean	test_std
Locus_1_A12	11.29015	0.855086	10.867235	1.4757
Locus_10_A19	5.243432	0.453828	4.951436	0.748707
Locus_10_A16	3.518219	0.350489	1.579548	0.462346
Locus_10_A13	3.284333	0.308814	1.939801	0.423861
Locus_1_A4	2.012832	0.336133	1.283224	0.34916
Locus_3_A9	1.742331	0.20957	0.65466	0.224196
Locus_10_A18	1.658051	0.123303	1.319968	0.212537
Locus_5_A16	1.636611	0.212217	1.668867	0.40044
Locus_10_A2	0.850296	0.128183	1.639714	0.428634
Locus_1_A1	0.510385	0.037262	0.223147	0.00689
Locus_6_A14	0.125915	0.028904	0.097821	0.040647
Locus_7_A3	0.075129	0.014056	-0.050331	0.022489
Locus_10_A17	0.073103	0.006695	0.030839	0.005343
Locus_1_A8	0.070899	0.034483	0.019899	0.028586
Locus_5_A18	0.052478	0.012163	0.027012	0.012968
Locus_1_A7	0.027552	0.015072	0.06107	0.037309
Locus_7_A6	0.021875	0.012661	-0.004106	0.00244
Locus_1_A6	0.017494	0.010604	-0.000295	0.01647
Locus_3_missing	0.01216	0.004853	0.0	0.0
Locus_7_A15	0.008523	0.005318	0.0	0.0
Locus_4_missing	0.00837	2e-06	0.0	0.0
Locus_8_A5	0.002782	0.003138	0.000228	0.001532
Locus_10_A8	0.001196	0.001997	0.000233	9.6e-05
Locus_9_A3	1.9e-05	8.5e-05	8.5e-05	8.5e-05
Locus_9_A12	0.0	0.0	0.0	0.0
