scores	parameters
-2.642459332720329	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.0, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.644358225699564	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.645253293780657	'feature_selection__estimator__alpha': 1.0, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.6455728622361097	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.645692172005247	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.0, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.6471694166815802	'feature_selection__estimator__alpha': 1.0, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.6473977264995225	'feature_selection__estimator__alpha': 1.0, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.6481721427962794	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.649520043902751	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.0, 'model__depth': 6, 'model__grow_policy': 'SymmetricTree', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.6502774300529834	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.6521009086033045	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.0, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.655283154575714	'feature_selection__estimator__alpha': 1.0, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.6559476783374736	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.0, 'model__depth': 6, 'model__grow_policy': 'SymmetricTree', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.656680595313575	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'SymmetricTree', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.657682494926488	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.6580234873625495	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.0, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.6580835942191223	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.6585339854487477	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.0, 'model__depth': 6, 'model__grow_policy': 'SymmetricTree', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.659314368152828	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'SymmetricTree', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.6599943890544226	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'SymmetricTree', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.6605338260339892	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.6615599139343367	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.6638932844034673	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'SymmetricTree', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.663963298001456	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.5, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 1, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.6669417378643088	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.0, 'model__depth': 6, 'model__grow_policy': 'Lossguide', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05, 'model__verbose': 0
-2.667094836334523	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.0, 'model__depth': 6, 'model__grow_policy': 'SymmetricTree', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.03, 'model__verbose': 0
-2.670882499268344	'feature_selection__estimator__alpha': 0.01, 'feature_selection__estimator__fit_intercept': True, 'feature_selection__estimator__max_iter': 500, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__bagging_temperature': 0.0, 'model__depth': 6, 'model__grow_policy': 'SymmetricTree', 'model__iterations': 300, 'model__l2_leaf_reg': 5, 'model__learning_rate': 0.05, 'model__verbose': 0
