feature	importance
Locus_5_A16	0.503891
Locus_10_A19	0.127432
Locus_8_A13	0.113813
Locus_9_A10	0.104086
Locus_5_A5	0.055934
Locus_9_A3	0.042802
Locus_2_A2	0.013132
Locus_1_A4	0.008755
Locus_3_A14	0.007782
Locus_5_A3	0.005837
Locus_7_A7	0.003405
Locus_5_A18	0.003405
Locus_5_A8	0.002432
Locus_7_missing	0.001946
Locus_4_A7	0.001946
Locus_7_A10	0.001459
Locus_2_A5	0.000973
Locus_1_A3	0.000973
Locus_8_A6	0.0
Locus_8_A8	0.0
Locus_9_A12	0.0
Locus_7_A5	0.0
Locus_6_A9	0.0
Locus_6_A4	0.0
Locus_5_missing	0.0
Locus_9_A7	0.0
Locus_9_A8	0.0
Locus_10_A13	0.0
Locus_4_A17	0.0
Locus_5_A15	0.0
Locus_2_A8	0.0
Locus_10_A17	0.0
Locus_10_A18	0.0
Locus_10_A2	0.0
Locus_1_A1	0.0
Locus_1_A12	0.0
Locus_1_A6	0.0
Locus_2_A13	0.0
Locus_2_A7	0.0
Locus_2_missing	0.0
Locus_5_A11	0.0
Locus_3_A15	0.0
Locus_3_A16	0.0
Locus_3_A6	0.0
Locus_3_A9	0.0
Locus_4_A10	0.0
Locus_4_A15	0.0
Locus_4_A16	-0.0
Locus_10_A16	0.0
Locus_9_A9	0.0
