scores	parameters
-2.7892906552263756	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': 20, 'model__max_features': None, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__splitter': 'best'
-2.7892906552263756	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': None, 'model__max_features': None, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__splitter': 'best'
-2.7960953120681777	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': None, 'model__max_features': None, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__splitter': 'best'
-2.7960953120681777	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': 20, 'model__max_features': None, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__splitter': 'best'
-2.7977722342769447	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__max_leaf_nodes': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__splitter': 'best'
-2.7977722342769447	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__max_leaf_nodes': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__splitter': 'best'
-2.7977722342769447	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__max_leaf_nodes': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__splitter': 'best'
-2.7977722342769447	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': 10, 'model__max_features': 'sqrt', 'model__max_leaf_nodes': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__splitter': 'best'
-2.7977722342769447	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__max_leaf_nodes': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__splitter': 'best'
-2.7977722342769447	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__max_leaf_nodes': 20, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__splitter': 'best'
-2.799478878836001	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': 10, 'model__max_features': None, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 5, 'model__splitter': 'best'
-2.810381367994649	'feature_selection__estimator__alpha': 0.1, 'feature_selection__estimator__l1_ratio': 0.5, 'feature_selection__estimator__max_iter': 300, 'feature_selection__estimator__tol': 0.01, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__criterion': 'absolute_error', 'model__max_depth': 10, 'model__max_features': None, 'model__max_leaf_nodes': None, 'model__min_samples_leaf': 1, 'model__min_samples_split': 2, 'model__splitter': 'best'
