feature	importance
Locus_1_A12	6.347207
Locus_6_A4	6.158156
Locus_5_A16	6.154076
Locus_2_A13	6.130562
Locus_9_A9	5.51089
Locus_10_A19	5.48394
Locus_9_A10	5.18177
Locus_10_A16	5.181434
Locus_5_A11	5.181368
Locus_3_A9	5.181156
Locus_5_A5	4.109406
Locus_10_A2	3.643202
Locus_9_A3	3.633162
Locus_10_A13	2.93993
Locus_4_A10	2.939705
Locus_1_A1	2.93749
Locus_6_A9	2.936972
Locus_8_A13	2.934964
Locus_9_A7	2.931812
Locus_1_A4	2.777534
Locus_9_A8	2.297308
Locus_5_missing	2.2829
Locus_3_A6	1.684061
Locus_4_A17	1.665865
Locus_4_A15	1.508768
Locus_3_missing	1.464056
Locus_4_A16	1.401638
Locus_3_A15	1.365486
Locus_8_A5	1.348308
Locus_5_A15	1.31309
Locus_7_A5	0.917391
Locus_8_A8	0.910572
Locus_5_A18	0.844699
Locus_4_A7	0.843166
Locus_7_A15	0.779636
Locus_9_A12	0.774398
Locus_10_A17	0.769414
Locus_2_missing	0.657003
Locus_2_A8	0.633055
Locus_1_A8	0.574345
Locus_2_A5	0.542626
Locus_3_A16	0.467935
Locus_2_A2	0.432908
Locus_3_A8	0.358778
Locus_5_A3	0.347568
Locus_8_A6	0.269536
Locus_7_A10	0.0
Locus_1_A3	0.0
Locus_10_A8	0.0
Locus_3_A14	0.0
