feature	train_mean	train_std	test_mean	test_std
Locus_1_A12	1.905282	0.189807	1.835202	0.415675
Locus_6_A4	1.816937	0.184926	1.757896	0.404339
Locus_5_A16	1.815039	0.184821	1.756237	0.404093
Locus_2_A13	1.804113	0.184211	1.746686	0.402676
Locus_9_A9	1.485156	0.163826	1.431816	0.279
Locus_10_A19	1.473361	0.163251	1.421049	0.277855
Locus_5_A5	0.596479	0.122884	0.46438	0.282458
Locus_9_A10	0.524567	0.09163	0.107848	0.030642
Locus_10_A16	0.524506	0.091625	0.107831	0.030641
Locus_5_A11	0.524494	0.091623	0.107827	0.03064
Locus_3_A9	0.524456	0.09162	0.107816	0.030639
Locus_10_A13	0.4526	0.12326	0.217465	0.128152
Locus_6_A9	0.451784	0.123148	0.217021	0.128047
Locus_8_A13	0.451231	0.123071	0.21672	0.127976
Locus_9_A7	0.450363	0.122951	0.216247	0.127865
Locus_9_A8	0.442277	0.061016	0.415375	0.113423
Locus_1_A4	0.418555	0.061707	0.283978	0.144656
Locus_10_A2	0.257329	0.049741	0.623362	0.183057
Locus_9_A3	0.256091	0.049621	0.621303	0.182567
Locus_1_A1	0.18974	0.030444	0.096916	0.026097
Locus_3_A6	0.183626	0.075021	0.132636	0.089233
Locus_4_A10	0.156245	0.051572	0.021646	0.017758
Locus_4_A16	0.134556	0.048812	0.116718	0.06866
Locus_3_A15	0.128013	0.047546	0.112289	0.067111
Locus_5_missing	0.124342	0.023355	0.066544	0.02044
Locus_4_A15	0.118875	0.03972	0.235997	0.082306
Locus_4_A17	0.106804	0.051202	0.091503	0.067448
Locus_8_A8	0.062483	0.028432	0.0987	0.053388
Locus_4_A7	0.044157	0.029179	0.036204	0.047881
Locus_5_A15	0.037652	0.022736	0.030101	0.053202
Locus_7_A5	0.037494	0.017349	0.133301	0.059275
Locus_8_A5	0.036726	0.022063	-0.011393	0.057604
Locus_5_A18	0.033164	0.022416	0.073931	0.025184
Locus_2_A5	0.024066	0.021451	0.011311	0.036972
Locus_9_A12	0.019	0.018457	0.001367	0.035015
Locus_10_A17	0.018723	0.018338	0.001291	0.03479
Locus_1_A8	0.014134	0.018992	0.019685	0.02785
Locus_2_A8	0.01392	0.016629	0.051937	0.03886
Locus_3_missing	0.012716	0.013273	-0.0	0.0
Locus_2_missing	0.01074	0.010442	-0.004318	0.003996
Locus_2_A2	0.008117	0.01021	-0.000108	0.018089
Locus_3_A16	0.007264	0.013993	0.016126	0.019384
Locus_3_A8	0.005979	0.005993	0.025531	0.015724
Locus_7_A15	0.003744	0.007056	-0.0	0.0
Locus_5_A3	0.00273	0.004036	0.004588	0.003007
Locus_8_A6	0.002238	0.004889	0.033032	0.016985
Locus_3_A14	0.0	0.0	-0.0	0.0
Locus_7_A10	0.0	0.0	-0.0	0.0
Locus_1_A3	0.0	0.0	-0.0	0.0
Locus_10_A8	0.0	0.0	-0.0	0.0
