scores	parameters
-3.051691198348999	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__alpha': 0.01, 'model__l1_ratio': 0.5, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.0543104648590087	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__alpha': 0.01, 'model__l1_ratio': 0.2, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.0568182945251463	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__alpha': 0.01, 'model__l1_ratio': 0.8, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.082292366027832	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__alpha': 0.001, 'model__l1_ratio': 0.2, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.0829834938049316	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__alpha': 0.001, 'model__l1_ratio': 0.5, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.085676097869873	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__alpha': 0.001, 'model__l1_ratio': 0.8, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.088829755783081	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__alpha': 0.01, 'model__l1_ratio': 0.8, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.0949668407440187	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__alpha': 0.001, 'model__l1_ratio': 0.2, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.0972610473632813	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__alpha': 0.001, 'model__l1_ratio': 0.5, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.098291301727295	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 50, 'feature_selection__threshold': -inf, 'model__alpha': 0.001, 'model__l1_ratio': 0.8, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.110261249542236	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__alpha': 0.01, 'model__l1_ratio': 0.5, 'model__max_iter': 5000, 'model__tol': 0.0001
-3.1394220352172852	'feature_selection__estimator__max_depth': 10, 'feature_selection__estimator__n_estimators': 100, 'feature_selection__max_features': 25, 'feature_selection__threshold': -inf, 'model__alpha': 0.01, 'model__l1_ratio': 0.2, 'model__max_iter': 5000, 'model__tol': 0.0001
