feature	importance
Locus_5_A16	0.140026
Locus_6_A4	0.112686
Locus_2_A13	0.091089
Locus_1_A12	0.088105
Locus_8_A6	0.060054
Locus_7_A5	0.057204
Locus_3_A14	0.039327
Locus_4_A15	0.032265
Locus_10_A19	0.031376
Locus_9_A9	0.024552
Locus_4_A7	0.024485
Locus_10_A17	0.024001
Locus_8_A2	0.023192
Locus_9_A8	0.022632
Locus_7_A3	0.021513
Locus_8_A8	0.018375
Locus_1_A7	0.017859
Locus_6_A9	0.014143
Locus_10_A13	0.010838
Locus_8_A13	0.010476
Locus_1_A6	0.010281
Locus_1_A4	0.009579
Locus_5_A5	0.009525
Locus_2_A7	0.009323
Locus_5_A8	0.008604
Locus_10_A18	0.007709
Locus_6_A14	0.006698
Locus_4_A16	0.006239
Locus_6_A5	0.005872
Locus_9_A4	0.005834
Locus_7_A10	0.005781
Locus_6_A6	0.005061
Locus_7_A7	0.005043
Locus_10_A10	0.004387
Locus_3_A16	0.004111
Locus_3_A6	0.00384
Locus_3_A15	0.003807
Locus_4_A4	0.003801
Locus_8_A3	0.002866
Locus_3_A3	0.002847
Locus_3_A8	0.002592
Locus_5_A18	0.002384
Locus_2_A5	0.002341
Locus_8_A7	0.002164
Locus_5_missing	0.001505
Locus_2_A2	0.001221
Locus_2_A8	0.001146
Locus_7_A6	0.000766
Locus_8_A5	0.000257
Locus_5_A3	0.00022
