feature	train_mean	train_std	test_mean	test_std
Locus_8_A3	2.501067	0.261403	1.56331	0.182426
Locus_3_A15	1.531327	0.191188	0.686285	0.173584
Locus_2_A13	1.401439	0.184092	0.705049	0.164436
Locus_1_A12	1.230543	0.101205	1.138576	0.327415
Locus_4_A4	0.431593	0.062087	-0.144966	0.085762
Locus_10_A18	0.367337	0.09913	0.203747	0.134193
Locus_2_A8	0.353426	0.069223	0.350066	0.170147
Locus_7_A6	0.326405	0.109853	0.297775	0.286058
Locus_10_A13	0.314726	0.062369	0.347502	0.133069
Locus_8_A8	0.298977	0.04441	0.188641	0.072905
Locus_6_A5	0.269555	0.111441	-0.377197	0.079158
Locus_9_A4	0.173781	0.073939	0.101671	0.095239
Locus_2_A7	0.135674	0.044113	-0.096061	0.084347
Locus_9_A9	0.135123	0.044788	0.19449	0.047027
Locus_3_A6	0.127999	0.037261	-0.113161	0.085711
Locus_10_A19	0.123705	0.034099	-0.054862	0.088375
Locus_2_A5	0.119806	0.04778	0.144349	0.071838
Locus_6_A6	0.118647	0.0339	-0.041572	0.090234
Locus_3_A3	0.0582	0.034401	0.038987	0.038786
Locus_10_A10	0.041239	0.014924	0.006903	0.029896
Locus_4_A7	0.040967	0.02054	-0.081841	0.054723
Locus_7_A3	0.040872	0.020164	0.056048	0.029901
Locus_5_A5	0.03662	0.027537	0.022172	0.038067
Locus_5_A8	0.035632	0.015592	-0.060133	0.120168
Locus_5_A3	0.035182	0.008207	-0.030936	0.017786
Locus_3_A16	0.026945	0.014046	0.018723	0.019397
Locus_5_A16	0.020795	0.015481	0.046278	0.034314
Locus_9_A8	0.017319	0.015619	0.027417	0.022387
Locus_8_A6	0.007652	0.00524	0.053869	0.049754
Locus_3_A8	0.003974	0.006987	0.01776	0.014536
Locus_8_A7	0.001937	0.002973	0.00413	0.000311
Locus_8_A5	0.0	0.0	0.0	0.0
Locus_8_A2	0.0	0.0	0.0	0.0
Locus_1_A6	0.0	0.0	0.0	0.0
Locus_4_A15	0.0	0.0	0.0	0.0
Locus_1_A4	0.0	0.0	0.0	0.0
Locus_10_A17	0.0	0.0	0.0	0.0
Locus_7_A7	0.0	0.0	0.0	0.0
Locus_8_A13	0.0	0.0	0.0	0.0
Locus_7_A10	0.0	0.0	0.0	0.0
Locus_1_A7	0.0	0.0	0.0	0.0
Locus_7_A5	0.0	0.0	0.0	0.0
Locus_4_A16	0.0	0.0	0.0	0.0
Locus_6_A9	0.0	0.0	0.0	0.0
Locus_2_A2	0.0	0.0	0.0	0.0
Locus_3_A14	0.0	0.0	0.0	0.0
Locus_6_A4	0.0	0.0	0.0	0.0
Locus_6_A14	0.0	0.0	0.0	0.0
Locus_5_missing	0.0	0.0	0.0	0.0
Locus_5_A18	0.0	0.0	0.0	0.0
