feature	importance
Locus_4_A15	0.168372
Locus_5_A11	0.098109
Locus_6_A4	0.095243
Locus_1_A12	0.088884
Locus_7_A5	0.084264
Locus_3_A14	0.076974
Locus_5_A16	0.054321
Locus_8_A6	0.037836
Locus_2_A13	0.033412
Locus_9_A9	0.031679
Locus_9_A7	0.028776
Locus_3_A9	0.02081
Locus_10_A19	0.018356
Locus_10_A18	0.017126
Locus_8_A8	0.015302
Locus_4_A7	0.014023
Locus_5_A5	0.013752
Locus_1_A4	0.013133
Locus_2_A7	0.012812
Locus_3_A6	0.009062
Locus_6_A14	0.009037
Locus_9_A8	0.005963
Locus_10_A13	0.005741
Locus_4_A4	0.004559
Locus_1_A7	0.004343
Locus_5_A15	0.003959
Locus_9_A4	0.003294
Locus_5_A17	0.003239
Locus_6_A6	0.003177
Locus_7_A3	0.002407
Locus_2_A5	0.002348
Locus_7_A7	0.002293
Locus_5_A8	0.002206
Locus_3_A8	0.001924
Locus_8_A13	0.001923
Locus_7_A10	0.001767
Locus_2_A2	0.001475
Locus_3_A15	0.001253
Locus_8_A2	0.001245
Locus_1_A8	0.000925
Locus_10_A10	0.000837
Locus_3_A3	0.00082
Locus_5_A18	0.000713
Locus_1_A6	0.000589
Locus_8_A3	0.000569
Locus_6_A5	0.00038
Locus_6_A9	0.000338
Locus_8_A7	0.000192
Locus_7_A6	0.00016
Locus_4_A16	7.6e-05
