feature	train_mean	train_std	test_mean	test_std
Locus_5_A11	2.928845	0.263421	1.095313	0.266759
Locus_1_A12	2.304689	0.270562	2.033946	0.459631
Locus_4_A15	2.048668	0.180391	1.401689	0.264407
Locus_7_A5	1.719825	0.189529	1.991124	0.249817
Locus_5_A16	1.462567	0.204387	1.325121	0.325368
Locus_2_A13	1.07064	0.152761	1.076308	0.301507
Locus_6_A4	0.985921	0.156124	1.013552	0.339461
Locus_3_A14	0.918995	0.160112	0.319543	0.131355
Locus_9_A8	0.841577	0.123218	0.894284	0.684512
Locus_9_A7	0.830761	0.111516	0.274365	0.0793
Locus_10_A19	0.681384	0.12351	0.673164	0.17477
Locus_9_A9	0.606092	0.144952	0.51885	0.235227
Locus_5_A5	0.564745	0.077758	0.582146	0.207568
Locus_8_A8	0.49675	0.108366	0.519267	0.23371
Locus_3_A9	0.441769	0.06342	0.084906	0.033594
Locus_1_A4	0.350629	0.074309	0.170756	0.09672
Locus_8_A6	0.214522	0.063568	0.352548	0.130912
Locus_6_A14	0.201235	0.050082	0.054109	0.032905
Locus_10_A18	0.187991	0.058356	0.06667	0.046588
Locus_10_A13	0.133153	0.066428	0.052369	0.081437
Locus_6_A6	0.114164	0.03966	0.115116	0.047328
Locus_2_A7	0.102257	0.031029	0.043152	0.024868
Locus_3_A6	0.093374	0.061566	0.063365	0.09992
Locus_3_A8	0.080772	0.026524	0.118942	0.118811
Locus_2_A5	0.074543	0.020063	0.040541	0.044919
Locus_4_A7	0.07029	0.037336	0.016668	0.075124
Locus_8_A2	0.06446	0.016688	-0.036928	0.019061
Locus_9_A4	0.063787	0.021783	0.072915	0.046608
Locus_4_A4	0.060898	0.037433	0.063666	0.024741
Locus_3_A3	0.05932	0.023997	0.095512	0.053193
Locus_8_A13	0.052996	0.023743	-0.023725	0.011677
Locus_3_A15	0.037613	0.020767	0.011572	0.030805
Locus_5_A8	0.035884	0.01074	-0.007091	0.012131
Locus_7_A10	0.034406	0.023818	0.012999	0.018854
Locus_7_A3	0.032145	0.018167	-0.0259	0.015157
Locus_2_A2	0.027831	0.014802	0.018244	0.019799
Locus_7_A7	0.026064	0.01232	-0.01922	0.015274
Locus_5_A17	0.021084	0.0103	-0.040839	0.011734
Locus_10_A10	0.020366	0.013312	0.04754	0.014136
Locus_6_A9	0.015372	0.01542	0.008402	0.031045
Locus_1_A6	0.014926	0.006442	0.006786	0.007539
Locus_5_A18	0.013533	0.013245	0.005784	0.014346
Locus_5_A15	0.013499	0.017017	0.003024	0.013531
Locus_1_A8	0.010699	0.010225	0.008756	0.005917
Locus_1_A7	0.007883	0.012819	0.023581	0.030042
Locus_7_A6	0.007747	0.008363	-0.016397	0.01797
Locus_6_A5	0.007333	0.009345	0.014588	0.008085
Locus_8_A3	0.005962	0.006504	0.026567	0.014154
Locus_8_A7	0.002197	0.00774	0.020669	0.025148
Locus_4_A16	0.000285	0.002675	-0.000246	0.002113
