scores	parameters
-3.0518269212129163	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.8
-3.0908852331816528	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.8
-3.1276532807060136	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.6
-3.1335374001826697	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.8
-3.157295208624922	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.8
-3.1715396561148834	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.6
-3.1850024467526654	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.8
-3.2220473112480015	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.6
-3.237883163219827	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.6
-3.310856886945642	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.8
-3.3144978575574733	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.8
-3.335050665402838	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.8
-3.341129566006819	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.8
-3.3476239088521282	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.8
-3.4130329590675808	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.6
-3.448837113506104	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.6
-3.5041069638483777	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.6
-3.543849300236971	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.6
-3.5663317134725787	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.8
-3.5851510401657327	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.6
-3.666457950571035	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 200, 'model__subsample': 0.8
-3.6999360580667675	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.05, 'model__loss': 'squared_error', 'model__max_depth': 3, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.8
-3.905754204725961	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f59f0af44a0>, 'model__alpha': 0.9, 'model__criterion': 'friedman_mse', 'model__learning_rate': 0.1, 'model__loss': 'squared_error', 'model__max_depth': 5, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 5, 'model__min_samples_split': 5, 'model__n_estimators': 100, 'model__subsample': 0.6
