feature	importance
Locus_9_A8	11.99495
Locus_1_A7	10.689762
Locus_8_A5	8.403788
Locus_2_A8	7.673494
Locus_8_A2	7.459408
Locus_5_A16	6.897982
Locus_1_A12	6.897982
Locus_6_A4	6.897982
Locus_2_A13	6.897982
Locus_1_A1	6.545366
Locus_6_A6	6.376618
Locus_9_A9	6.249602
Locus_10_A19	6.249602
Locus_6_A14	6.215629
Locus_5_A8	5.86586
Locus_7_A5	5.428495
Locus_5_A5	5.055387
Locus_8_A8	4.780115
Locus_3_A8	4.610735
Locus_1_A4	4.237821
Locus_4_A15	4.19394
Locus_8_A7	3.588084
Locus_8_A13	3.241404
Locus_6_A9	3.241404
Locus_10_A13	3.241404
Locus_9_A7	3.241404
Locus_4_A17	2.766534
Locus_4_A16	2.52822
Locus_3_A15	2.52822
Locus_4_A7	2.506562
Locus_6_A5	2.347105
Locus_8_A6	2.12855
Locus_4_A5	1.513868
Locus_4_A4	1.489979
Locus_9_A4	1.489979
Locus_8_A3	1.489979
Locus_10_A10	1.489979
Locus_2_A2	1.333032
Locus_5_A18	1.321232
Locus_2_A5	1.094749
Locus_7_A7	1.048154
Locus_3_A3	0.941849
Locus_10_A18	0.935269
Locus_2_A7	0.935269
Locus_1_A6	0.935269
Locus_5_A17	0.810674
Locus_10_A17	0.34182
Locus_7_A10	0.302753
Locus_7_A6	0.190257
Locus_3_A14	0.019358
