feature	train_mean	train_std	test_mean	test_std
Locus_1_A7	8.55348	0.384347	7.779772	0.758439
Locus_9_A9	5.750971	0.331132	5.826058	0.658875
Locus_10_A19	5.750971	0.331132	5.826058	0.658875
Locus_9_A8	5.424502	0.246011	5.366747	0.280962
Locus_6_A6	5.163721	0.339832	5.044434	0.620456
Locus_3_A8	3.089563	0.161129	3.663451	0.324935
Locus_1_A12	2.338606	0.234914	2.329907	0.453219
Locus_6_A4	2.338606	0.234914	2.329907	0.453219
Locus_5_A16	2.338606	0.234914	2.329907	0.453219
Locus_2_A13	2.338606	0.234914	2.329907	0.453219
Locus_7_A5	1.583704	0.176249	2.255481	0.444242
Locus_2_A8	1.19232	0.157685	1.323013	0.315525
Locus_8_A8	1.123247	0.118818	1.130204	0.271692
Locus_6_A5	0.902676	0.139349	0.689912	0.245257
Locus_1_A4	0.713647	0.080112	0.557334	0.169547
Locus_5_A15	0.56435	0.095048	0.269228	0.19476
Locus_10_A13	0.528218	0.121497	0.309088	0.129381
Locus_8_A13	0.528218	0.121497	0.309088	0.129381
Locus_6_A9	0.528218	0.121497	0.309088	0.129381
Locus_9_A7	0.528218	0.121497	0.309088	0.129381
Locus_8_A7	0.36644	0.073363	0.158637	0.19496
Locus_4_A7	0.359005	0.074277	0.232814	0.126921
Locus_10_A10	0.333277	0.088087	0.162032	0.177668
Locus_8_A3	0.333277	0.088087	0.162032	0.177668
Locus_4_A4	0.333277	0.088087	0.162032	0.177668
Locus_9_A4	0.333277	0.088087	0.162032	0.177668
Locus_6_A14	0.245673	0.032147	0.031937	0.016989
Locus_4_A15	0.198184	0.062369	-0.085829	0.110248
Locus_3_A6	0.194384	0.069389	0.136161	0.07251
Locus_7_A7	0.176928	0.072118	0.037533	0.089531
Locus_3_A3	0.099763	0.033296	0.071214	0.067969
Locus_7_A6	0.077704	0.057845	0.213297	0.139474
Locus_8_A6	0.058625	0.017607	-0.037933	0.038297
Locus_1_A6	0.055212	0.028496	0.014719	0.066237
Locus_2_A7	0.055212	0.028496	0.014719	0.066237
Locus_10_A18	0.055212	0.028496	0.014719	0.066237
Locus_4_A5	0.052534	0.013236	0.079594	0.037236
Locus_5_A8	0.052167	0.028445	0.044338	0.033922
Locus_3_A16	0.046414	0.033558	0.001351	0.052563
Locus_4_A16	0.01555	0.020575	0.026142	0.035565
Locus_3_A15	0.01555	0.020575	0.026142	0.035565
Locus_5_A18	0.011276	0.016999	-0.018091	0.024454
Locus_5_A17	0.009396	0.00766	0.00313	0.017819
Locus_7_A3	0.002376	0.013421	-0.012453	0.006342
Locus_3_A14	0.000179	0.000777	0.002255	0.001282
Locus_2_A5	-0.001545	0.001313	-0.000442	0.002439
Locus_1_A8	-0.002088	0.022733	0.018409	0.035245
Locus_9_A12	-0.004569	0.008929	0.007443	0.015222
Locus_10_A17	-0.004569	0.008929	0.007443	0.015222
Locus_2_A2	-0.004718	0.007084	-0.003399	0.012525
