feature	train_mean	train_std	test_mean	test_std
Locus_6_A14	1.721925	0.317434	1.493282	0.649964
Locus_4_A16	0.669322	0.251905	-0.002302	0.387008
Locus_6_A5	0.669322	0.251905	-0.002302	0.387008
Locus_5_A16	0.591251	0.134495	-0.043999	0.37903
Locus_7_A7	0.591251	0.134495	-0.043999	0.37903
Locus_1_A7	0.591251	0.134495	-0.043999	0.37903
Locus_10_A10	0.521064	0.087454	0.374824	0.44945
Locus_3_A3	0.0	0.0	0.0	0.0
Locus_4_A15	0.0	0.0	0.0	0.0
Locus_9_A8	0.0	0.0	0.0	0.0
Locus_9_A4	0.0	0.0	0.0	0.0
Locus_8_A7	0.0	0.0	0.0	0.0
Locus_8_A6	0.0	0.0	0.0	0.0
Locus_8_A3	0.0	0.0	0.0	0.0
Locus_1_A12	0.0	0.0	0.0	0.0
Locus_7_A6	0.0	0.0	0.0	0.0
Locus_7_A5	0.0	0.0	0.0	0.0
Locus_1_A6	0.0	0.0	0.0	0.0
Locus_6_A4	0.0	0.0	0.0	0.0
Locus_2_A13	0.0	0.0	0.0	0.0
Locus_10_A18	0.0	0.0	0.0	0.0
Locus_4_A7	0.0	0.0	0.0	0.0
Locus_4_A4	0.0	0.0	0.0	0.0
Locus_2_A7	0.0	0.0	0.0	0.0
Locus_9_A9	0.0	0.0	0.0	0.0
