scores	parameters
-2.9744847252991056	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'
-2.9791807651519777	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'
-2.9793050289154053	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'
-2.989365482330322	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'
-3.0245196342468263	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'kd_tree', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'
-3.044881725311279	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'kd_tree', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'
-3.0482523918151854	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'uniform'
-3.0524386255641707	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'kd_tree', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'
-3.058569932514066	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'
-3.0606472273612972	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'kd_tree', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance'
-3.0623382782231965	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance'
-3.062633376692657	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance'
-3.0667339521062367	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'kd_tree', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 1, 'model__weights': 'distance'
-3.0690661139314592	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'kd_tree', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'
-3.069864739078878	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'kd_tree', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'
-3.0701554284229537	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 15, 'model__p': 2, 'model__weights': 'distance'
-3.090487813949585	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'kd_tree', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'uniform'
-3.0909706978846643	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 25, 'model__p': 1, 'model__weights': 'distance'
-3.0976347723708826	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 25, 'model__p': 1, 'model__weights': 'distance'
-3.0995930106136003	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'kd_tree', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 25, 'model__p': 1, 'model__weights': 'distance'
-3.1009245021653404	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'kd_tree', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 25, 'model__p': 1, 'model__weights': 'distance'
-3.1020969244645356	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 20, 'model__metric': 'minkowski', 'model__n_neighbors': 5, 'model__p': 1, 'model__weights': 'distance'
-3.1027826605607025	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7fe9c0fc44a0>, 'model__algorithm': 'auto', 'model__leaf_size': 30, 'model__metric': 'minkowski', 'model__n_neighbors': 5, 'model__p': 2, 'model__weights': 'distance'
