feature	importance
Locus_10_A19	26.144009
Locus_10_A13	24.52817
Locus_1_A12	23.381552
Locus_3_A9	12.931683
Locus_9_A8	9.799237
Locus_3_A8	6.316296
Locus_1_A4	4.305001
Locus_1_A7	4.274876
Locus_9_A12	4.191146
Locus_10_A10	4.004099
Locus_6_A14	3.914926
Locus_4_A4	3.511068
Locus_8_A3	3.136238
Locus_6_A6	3.031844
Locus_9_A9	2.899506
Locus_5_A5	2.884905
Locus_5_A18	2.735125
Locus_8_A8	2.596597
Locus_7_A10	2.286381
Locus_10_A18	2.178486
Locus_3_A14	2.172646
Locus_7_A7	2.141213
Locus_6_A5	2.076436
Locus_2_A2	1.889074
Locus_7_A6	1.498149
Locus_1_A6	1.368304
Locus_3_A3	1.328055
Locus_9_A4	1.282976
Locus_5_A16	1.24034
Locus_2_A5	1.027429
Locus_7_A5	1.011161
Locus_5_A17	0.891147
Locus_4_A5	0.868497
Locus_5_A8	0.673041
Locus_3_A15	0.551892
Locus_4_A7	0.375709
Locus_2_A8	0.366363
Locus_4_A15	0.333103
Locus_3_A16	0.242427
Locus_2_A7	0.19499
Locus_8_A7	0.080998
Locus_2_A13	0.076934
Locus_8_A6	0.002246
Locus_6_A9	0.0
Locus_8_A13	0.0
Locus_4_A17	0.0
Locus_4_A16	0.0
Locus_9_A7	0.0
Locus_3_A6	0.0
Locus_6_A4	0.0
