feature	train_mean	train_std	test_mean	test_std
Locus_1_A6	13.402748	0.652315	11.658381	0.482589
Locus_10_A8	11.211853	0.257926	10.438148	1.135609
Locus_10_A13	9.177671	0.310812	9.383658	1.203427
Locus_7_A7	4.112756	0.198109	3.517677	0.63505
Locus_1_A4	1.551946	0.193032	0.877982	0.163651
Locus_5_A16	1.240976	0.094653	0.836884	0.252789
Locus_7_A10	1.077699	0.103655	1.195951	0.213516
Locus_1_A12	0.879223	0.05746	0.36839	0.089869
Locus_4_A17	0.505826	0.111014	-0.060585	0.091055
Locus_8_A8	0.198254	0.02385	0.124667	0.094448
Locus_2_A13	0.17137	0.046365	0.210624	0.070405
Locus_3_A3	0.145328	0.031141	-0.114172	0.076545
Locus_3_A15	0.120319	0.035221	0.075608	0.059646
Locus_4_A4	0.086823	0.026951	-0.110376	0.067301
Locus_9_A9	0.078018	0.029684	0.045135	0.06404
Locus_10_A10	0.073791	0.025439	0.142909	0.060646
Locus_2_A5	0.07254	0.024955	0.101351	0.04985
Locus_7_A5	0.031676	0.013513	0.005397	0.04424
Locus_8_A7	0.014995	0.015724	-0.05943	0.019302
Locus_10_A18	0.008327	0.012893	0.007518	0.024737
Locus_2_A2	0.007797	0.005555	-0.030037	0.012696
Locus_6_A14	0.003227	0.00928	0.039979	0.009049
Locus_2_A8	0.002636	0.005711	-0.019268	0.008129
Locus_5_A18	0.002541	0.00242	0.006803	0.007245
Locus_9_A8	0.001805	0.005066	-0.001722	0.008034
Locus_3_A8	0.000713	0.005326	-0.006002	0.010799
Locus_8_A6	0.000469	0.001721	-0.006062	0.002457
Locus_9_A7	9.4e-05	0.008573	0.001838	0.012133
Locus_7_A6	0.0	0.0	0.0	0.0
Locus_6_A4	0.0	0.0	0.0	0.0
Locus_8_A3	0.0	0.0	0.0	0.0
Locus_10_A19	0.0	0.0	0.0	0.0
Locus_10_A17	0.0	0.0	0.0	0.0
Locus_9_A12	0.0	0.0	0.0	0.0
Locus_9_A4	0.0	0.0	0.0	0.0
Locus_7_A3	0.0	0.0	0.0	0.0
Locus_5_A11	0.0	0.0	0.0	0.0
Locus_6_A6	0.0	0.0	0.0	0.0
Locus_6_A5	0.0	0.0	0.0	0.0
Locus_5_missing	0.0	0.0	0.0	0.0
Locus_5_A8	0.0	0.0	0.0	0.0
Locus_5_A5	0.0	0.0	0.0	0.0
Locus_5_A17	0.0	0.0	0.0	0.0
Locus_1_A1	0.0	0.0	0.0	0.0
Locus_1_A7	0.0	0.0	0.0	0.0
Locus_4_A7	0.0	0.0	0.0	0.0
Locus_4_A16	0.0	0.0	0.0	0.0
Locus_4_A15	0.0	0.0	0.0	0.0
Locus_2_A7	0.0	0.0	0.0	0.0
Locus_3_A14	-3.6e-05	0.003868	0.017282	0.008165
