scores	parameters
-3.091503620147705	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f39ef7b84a0>, 'model__alpha': 0.0001, 'model__fit_intercept': True, 'model__max_iter': 10000, 'model__selection': 'cyclic', 'model__tol': 1e-05, 'model__warm_start': False
-3.1035024166107177	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f39ef7b84a0>, 'model__alpha': 0.001, 'model__fit_intercept': True, 'model__max_iter': 5000, 'model__selection': 'random', 'model__tol': 1e-05, 'model__warm_start': False
-3.174710273742676	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f39ef7b84a0>, 'model__alpha': 0.001, 'model__fit_intercept': True, 'model__max_iter': 5000, 'model__selection': 'cyclic', 'model__tol': 1e-05, 'model__warm_start': False
-3.192552947998047	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f39ef7b84a0>, 'model__alpha': 0.0001, 'model__fit_intercept': True, 'model__max_iter': 5000, 'model__selection': 'random', 'model__tol': 1e-05, 'model__warm_start': False
-3.329865646362305	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f39ef7b84a0>, 'model__alpha': 0.01, 'model__fit_intercept': True, 'model__max_iter': 5000, 'model__selection': 'cyclic', 'model__tol': 1e-05, 'model__warm_start': False
-3.382103776931763	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f39ef7b84a0>, 'model__alpha': 0.01, 'model__fit_intercept': True, 'model__max_iter': 5000, 'model__selection': 'cyclic', 'model__tol': 1e-05, 'model__warm_start': False
-3.3960453510284423	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f39ef7b84a0>, 'model__alpha': 0.001, 'model__fit_intercept': True, 'model__max_iter': 10000, 'model__selection': 'cyclic', 'model__tol': 1e-05, 'model__warm_start': False
-3.3971274375915526	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f39ef7b84a0>, 'model__alpha': 0.01, 'model__fit_intercept': True, 'model__max_iter': 10000, 'model__selection': 'random', 'model__tol': 1e-05, 'model__warm_start': False
-3.409657192230225	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f39ef7b84a0>, 'model__alpha': 0.01, 'model__fit_intercept': True, 'model__max_iter': 5000, 'model__selection': 'random', 'model__tol': 1e-05, 'model__warm_start': False
-3.4819149494171144	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f39ef7b84a0>, 'model__alpha': 0.0001, 'model__fit_intercept': True, 'model__max_iter': 10000, 'model__selection': 'random', 'model__tol': 1e-05, 'model__warm_start': False
