feature	train_mean	train_std	test_mean	test_std
Locus_2_A13	13.476433	0.637937	11.760394	0.589742
Locus_1_A12	5.590232	0.20032	5.629971	0.759186
Locus_10_A13	3.110568	0.168446	3.064356	0.619784
Locus_2_A8	1.751782	0.216541	1.328528	0.433348
Locus_10_A10	1.258664	0.123226	1.164194	0.288409
Locus_3_A15	0.821292	0.051801	0.85702	0.111467
Locus_1_A1	0.745976	0.10161	0.178295	0.151159
Locus_3_A3	0.638466	0.093154	0.358065	0.080061
Locus_2_A5	0.594898	0.131196	0.801735	0.106921
Locus_6_A4	0.545329	0.123161	-0.140481	0.058165
Locus_5_A5	0.348876	0.081356	0.552375	0.187649
Locus_4_A17	0.327797	0.085305	-0.178306	0.052087
Locus_9_A9	0.263939	0.052394	0.202762	0.104922
Locus_7_A6	0.142435	0.056161	0.185289	0.108904
Locus_9_A7	0.137087	0.06298	0.100434	0.070877
Locus_5_A3	0.091257	0.033123	0.117481	0.046948
Locus_4_A4	0.053742	0.019089	-0.044313	0.0249
Locus_5_A18	0.009931	0.010722	0.023333	0.018848
Locus_3_A8	0.005474	0.007543	0.022113	0.012365
Locus_9_A10	0.000206	0.001081	-0.002309	0.004098
Locus_8_A3	0.0	0.0	0.0	0.0
Locus_7_A3	0.0	0.0	0.0	0.0
Locus_7_A5	0.0	0.0	0.0	0.0
Locus_7_A7	0.0	0.0	0.0	0.0
Locus_2_A7	0.0	0.0	0.0	0.0
Locus_8_A6	0.0	0.0	0.0	0.0
Locus_6_A6	0.0	0.0	0.0	0.0
Locus_8_A7	0.0	0.0	0.0	0.0
Locus_8_A8	0.0	0.0	0.0	0.0
Locus_9_A12	0.0	0.0	0.0	0.0
Locus_9_A4	0.0	0.0	0.0	0.0
Locus_9_A8	0.0	0.0	0.0	0.0
Locus_6_A9	0.0	0.0	0.0	0.0
Locus_6_A14	0.0	0.0	0.0	0.0
Locus_6_A5	0.0	0.0	0.0	0.0
Locus_10_A18	0.0	0.0	0.0	0.0
Locus_2_missing	0.0	0.0	0.0	0.0
Locus_5_missing	0.0	0.0	0.0	0.0
Locus_5_A8	0.0	0.0	0.0	0.0
Locus_10_A19	0.0	0.0	0.0	0.0
Locus_1_A4	0.0	0.0	0.0	0.0
Locus_4_A7	0.0	0.0	0.0	0.0
Locus_1_A6	0.0	0.0	0.0	0.0
Locus_4_A16	0.0	0.0	0.0	0.0
Locus_4_A15	0.0	0.0	0.0	0.0
Locus_3_A6	0.0	0.0	0.0	0.0
Locus_1_A7	0.0	0.0	0.0	0.0
Locus_2_A2	0.0	0.0	0.0	0.0
Locus_3_A14	0.0	0.0	0.0	0.0
Locus_5_A16	0.0	0.0	0.0	0.0
