scores	parameters
-2.8636721114518893	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.0, 'model__reg_lambda': 0.0, 'model__subsample': 1.0, 'model__verbose': -1
-2.9157781843637225	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.1, 'model__subsample': 1.0, 'model__verbose': -1
-2.9588181411552554	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.0, 'model__subsample': 1.0, 'model__verbose': -1
-3.079364584532848	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.05, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.1, 'model__subsample': 1.0, 'model__verbose': -1
-3.179124577060384	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.05, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.0, 'model__subsample': 1.0, 'model__verbose': -1
-3.190012338590258	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.05, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.0, 'model__reg_lambda': 0.0, 'model__subsample': 1.0, 'model__verbose': -1
-3.21902807786473	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.05, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.0, 'model__reg_lambda': 0.1, 'model__subsample': 1.0, 'model__verbose': -1
-3.219821382496569	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.0, 'model__reg_lambda': 0.1, 'model__subsample': 1.0, 'model__verbose': -1
-3.3228009359553483	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.0, 'model__reg_lambda': 0.1, 'model__subsample': 1.0, 'model__verbose': -1
-3.344089385083177	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 100, 'model__num_leaves': 31, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.1, 'model__subsample': 1.0, 'model__verbose': -1
-3.345863282959143	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 100, 'model__num_leaves': 31, 'model__reg_alpha': 0.0, 'model__reg_lambda': 0.1, 'model__subsample': 1.0, 'model__verbose': -1
-3.4537687813110765	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 100, 'model__num_leaves': 31, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.0, 'model__subsample': 1.0, 'model__verbose': -1
-3.5378535495438266	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 100, 'model__num_leaves': 31, 'model__reg_alpha': 0.0, 'model__reg_lambda': 0.0, 'model__subsample': 1.0, 'model__verbose': -1
-3.707843505641209	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.05, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.0, 'model__subsample': 1.0, 'model__verbose': -1
-3.712190106006802	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 300, 'model__num_leaves': 31, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.1, 'model__subsample': 1.0, 'model__verbose': -1
-4.034514441777167	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.05, 'model__max_depth': -1, 'model__n_estimators': 100, 'model__num_leaves': 31, 'model__reg_alpha': 0.0, 'model__reg_lambda': 0.0, 'model__subsample': 1.0, 'model__verbose': -1
-4.061290771892934	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': -1, 'model__n_estimators': 100, 'model__num_leaves': 31, 'model__reg_alpha': 0.0, 'model__reg_lambda': 0.1, 'model__subsample': 1.0, 'model__verbose': -1
-4.143798503054418	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff444c784a0>, 'model__colsample_bytree': 1.0, 'model__importance_type': 'gain', 'model__learning_rate': 0.05, 'model__max_depth': -1, 'model__n_estimators': 100, 'model__num_leaves': 31, 'model__reg_alpha': 0.1, 'model__reg_lambda': 0.1, 'model__subsample': 1.0, 'model__verbose': -1
