feature	train_mean	train_std	test_mean	test_std
Locus_5_A16	1.189977	0.220745	1.320215	0.388965
Locus_1_A12	1.098859	0.212196	1.236457	0.374535
Locus_1_A7	1.024721	0.140785	0.359158	0.264814
Locus_6_A4	0.870726	0.189916	1.025394	0.327792
Locus_9_A10	0.840271	0.125479	0.271375	0.055485
Locus_5_A11	0.787575	0.120088	0.25165	0.054423
Locus_10_A16	0.785207	0.120463	0.251032	0.054766
Locus_2_A13	0.762009	0.176785	0.921875	0.303251
Locus_4_A15	0.733761	0.147825	0.920646	0.231088
Locus_6_A14	0.731028	0.119175	0.155451	0.085194
Locus_7_A3	0.707074	0.088994	0.371623	0.082706
Locus_8_A6	0.661809	0.152038	1.047193	0.332166
Locus_7_A5	0.657652	0.14438	0.968955	0.315371
Locus_3_A14	0.527829	0.12954	0.872863	0.220777
Locus_5_A5	0.509043	0.125678	0.445146	0.28431
Locus_9_A12	0.491329	0.129519	0.202057	0.235822
Locus_8_A8	0.487656	0.125598	0.110933	0.26677
Locus_10_A19	0.381167	0.102577	0.440006	0.184218
Locus_5_A18	0.344803	0.092354	0.411076	0.137947
Locus_9_A9	0.32509	0.09448	0.3944	0.174795
Locus_3_A8	0.31843	0.157115	0.165364	0.236203
Locus_2_A8	0.268833	0.089957	0.383657	0.171109
Locus_2_A5	0.26738	0.131954	0.111874	0.172347
Locus_1_A4	0.25282	0.061048	0.212701	0.153754
Locus_6_A6	0.251543	0.040061	0.183529	0.115597
Locus_4_A7	0.130506	0.055394	0.119616	0.080276
Locus_6_A5	0.124976	0.04934	0.031708	0.109497
Locus_3_A6	0.119735	0.065489	0.093163	0.113874
Locus_9_A8	0.094059	0.072065	-0.033106	0.240321
Locus_8_A13	0.092659	0.044644	0.066319	0.058216
Locus_9_A7	0.09216	0.045906	0.071162	0.062042
Locus_4_A17	0.084928	0.04993	0.090146	0.09889
Locus_10_A10	0.081033	0.051831	0.106599	0.113804
Locus_9_A4	0.07256	0.054201	0.094674	0.117739
Locus_3_A3	0.072557	0.054877	0.094376	0.121681
Locus_8_A3	0.063901	0.045651	0.090523	0.098544
Locus_4_A4	0.060806	0.045841	0.081795	0.101233
Locus_7_A7	0.058678	0.027913	0.011866	0.049149
Locus_1_A6	0.05114	0.025689	0.003901	0.095312
Locus_10_A13	0.044616	0.024675	0.035278	0.036225
Locus_10_A18	0.043161	0.019974	0.012702	0.067791
Locus_6_A9	0.028232	0.016716	0.024735	0.024619
Locus_2_A2	0.025637	0.020867	0.068028	0.045214
Locus_7_A6	0.02284	0.020112	-0.042989	0.070016
Locus_5_A8	0.018761	0.02671	-0.019557	0.045303
Locus_7_A10	0.017337	0.007317	0.023406	0.013296
Locus_2_A7	0.013039	0.006997	-0.000416	0.018452
Locus_8_A7	0.010998	0.011262	-0.011966	0.0266
Locus_3_A15	0.010487	0.008776	0.000556	0.012309
Locus_4_A16	0.01023	0.013515	-0.003169	0.013773
