scores	parameters
-2.874387143925284	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-2.877099585206646	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-2.911143256084872	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-2.9800616265965205	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-3.0610946658817495	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-3.1471547593400793	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-3.209389551464279	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.0001
-3.2757488643721286	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-3.2821062493880944	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-3.315902111161109	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.001
-3.3645915575525094	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.5, 'model__shrinking': True, 'model__tol': 0.001
-3.372600749378047	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
-3.448487324717526	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f3eb87644a0>, 'model__C': 10, 'model__coef0': 0.0, 'model__degree': 3, 'model__gamma': 0.1, 'model__kernel': 'linear', 'model__max_iter': 2000, 'model__nu': 0.25, 'model__shrinking': True, 'model__tol': 0.0001
