feature	importance
Locus_10_A17	10.946036
Locus_3_A16	7.417553
Locus_10_A19	7.000655
Locus_1_A8	6.882646
Locus_2_A5	6.672
Locus_2_A13	5.341287
Locus_1_A1	3.903204
Locus_1_A7	3.81669
Locus_2_A2	3.816688
Locus_10_A18	3.816687
Locus_10_A8	3.816687
Locus_10_A13	2.977026
Locus_1_A3	2.274423
Locus_2_A7	1.51372
Locus_1_A6	0.811849
Locus_2_missing	0.43547
Locus_10_A10	0.43547
Locus_3_A15	0.435468
Locus_1_A4	0.362337
Locus_2_A9	0.345778
Locus_2_A8	0.286506
Locus_10_A2	0.167796
Locus_10_A16	0.167794
Locus_1_A12	0.16779
Locus_3_A14	0.0
