feature	train_mean	train_std	test_mean	test_std
Locus_10_A19	10.411561	0.331102	9.721509	1.24586
Locus_1_A4	5.300377	0.377782	6.242311	0.684426
Locus_1_A12	2.126358	0.304331	1.255379	0.365283
Locus_2_A13	2.126358	0.304331	1.255379	0.365283
Locus_2_A5	2.023175	0.26302	2.027167	0.502713
Locus_10_A17	1.264799	0.234382	1.256532	0.398756
Locus_3_A14	0.802167	0.198408	0.22609	0.268751
Locus_3_A15	0.035606	0.024486	-0.004835	0.05384
Locus_10_A10	0.028043	0.024897	-0.009735	0.060023
Locus_1_A8	0.0	0.0	0.0	0.0
Locus_2_missing	0.0	0.0	0.0	0.0
Locus_2_A9	0.0	0.0	0.0	0.0
Locus_2_A8	0.0	0.0	0.0	0.0
Locus_2_A2	0.0	0.0	0.0	0.0
Locus_3_A16	0.0	0.0	0.0	0.0
Locus_1_A7	0.0	0.0	0.0	0.0
Locus_10_A13	0.0	0.0	0.0	0.0
Locus_1_A3	0.0	0.0	0.0	0.0
Locus_1_A1	0.0	0.0	0.0	0.0
Locus_10_A8	0.0	0.0	0.0	0.0
Locus_10_A2	0.0	0.0	0.0	0.0
Locus_10_A16	0.0	0.0	0.0	0.0
Locus_2_A7	-0.001695	0.014844	0.0163	0.023206
Locus_10_A18	-0.001695	0.014844	0.0163	0.023206
Locus_1_A6	-0.001695	0.014844	0.0163	0.023207
