feature	importance
Locus_1_A12	0.125447
Locus_2_A13	0.113065
Locus_6_A4	0.103437
Locus_5_A16	0.098478
Locus_8_A6	0.073736
Locus_7_A5	0.056773
Locus_5_A11	0.042529
Locus_3_A14	0.035525
Locus_4_A15	0.02862
Locus_8_A2	0.022938
Locus_9_A9	0.020807
Locus_1_A7	0.018665
Locus_10_A19	0.018522
Locus_9_A12	0.018259
Locus_9_A8	0.017732
Locus_4_A7	0.015422
Locus_8_A8	0.01386
Locus_6_A9	0.01191
Locus_10_A17	0.011679
Locus_6_A14	0.009719
Locus_5_A5	0.009396
Locus_10_A13	0.008921
Locus_1_A4	0.008881
Locus_2_A8	0.008298
Locus_5_A8	0.007624
Locus_8_A13	0.007547
Locus_9_A7	0.007372
Locus_8_A3	0.007203
Locus_5_A18	0.006416
Locus_1_A6	0.006127
Locus_2_A7	0.005795
Locus_10_A10	0.005765
Locus_4_A4	0.005485
Locus_10_A18	0.005062
Locus_6_A6	0.004952
Locus_4_A17	0.003976
Locus_4_A16	0.003754
Locus_9_A4	0.003379
Locus_3_A15	0.003321
Locus_8_A7	0.003158
Locus_7_A10	0.00304
Locus_7_A7	0.00301
Locus_3_A3	0.00283
Locus_6_A5	0.002587
Locus_2_A2	0.002125
Locus_2_A5	0.002112
Locus_3_A6	0.00206
Locus_3_A8	0.001299
Locus_5_A17	0.001092
Locus_7_A6	0.000289
