feature	train_mean	train_std	test_mean	test_std
Locus_3_A15	2.484262	0.241111	1.554242	0.171593
Locus_2_A13	2.367089	0.234117	1.431152	0.144138
Locus_8_A6	1.913193	0.211505	1.129926	0.14168
Locus_8_A2	1.533772	0.105841	1.480452	0.286443
Locus_1_A12	0.463806	0.036964	0.480305	0.137362
Locus_4_A4	0.388575	0.077041	-0.085977	0.083074
Locus_2_A8	0.371873	0.068452	0.309502	0.152317
Locus_9_A4	0.325405	0.045617	0.194646	0.067735
Locus_9_A9	0.304553	0.064317	0.369125	0.069611
Locus_7_A7	0.16672	0.066769	0.15979	0.151103
Locus_10_A13	0.130819	0.055532	0.138635	0.107686
Locus_2_A5	0.129392	0.046931	0.1666	0.08276
Locus_6_A5	0.122208	0.069609	-0.284258	0.034095
Locus_4_A15	0.12019	0.050189	0.1879	0.128265
Locus_9_A7	0.108062	0.06459	0.040909	0.07213
Locus_10_A18	0.103766	0.063878	0.010718	0.086823
Locus_10_A19	0.075631	0.033485	-0.070243	0.059064
Locus_10_A10	0.072863	0.017631	0.027988	0.043369
Locus_7_A5	0.063872	0.017217	0.032143	0.049184
Locus_3_A8	0.059672	0.027875	-0.05054	0.049951
Locus_2_A7	0.052922	0.015811	-0.059679	0.054651
Locus_6_A6	0.050203	0.018422	-0.083743	0.060773
Locus_4_A7	0.046841	0.02436	-0.072623	0.06091
Locus_8_A8	0.044989	0.014789	0.09152	0.101903
Locus_3_A3	0.040856	0.02123	0.053404	0.022797
Locus_6_A9	0.037804	0.020565	0.044153	0.031487
Locus_5_A17	0.034899	0.012173	0.001781	0.025141
Locus_3_A6	0.031522	0.029901	0.005816	0.029346
Locus_5_A5	0.019341	0.009975	-0.042368	0.093374
Locus_5_A18	0.015708	0.013299	-0.019461	0.021079
Locus_8_A7	0.008109	0.011019	-0.02854	0.017914
Locus_1_A7	0.0	0.0	0.0	0.0
Locus_9_A8	0.0	0.0	0.0	0.0
Locus_10_A17	0.0	0.0	0.0	0.0
Locus_1_A4	0.0	0.0	0.0	0.0
Locus_9_A12	0.0	0.0	0.0	0.0
Locus_4_A16	0.0	0.0	0.0	0.0
Locus_1_A6	0.0	0.0	0.0	0.0
Locus_8_A3	0.0	0.0	0.0	0.0
Locus_2_A2	0.0	0.0	0.0	0.0
Locus_8_A13	0.0	0.0	0.0	0.0
Locus_7_A6	0.0	0.0	0.0	0.0
Locus_4_A17	0.0	0.0	0.0	0.0
Locus_7_A10	0.0	0.0	0.0	0.0
Locus_5_A11	0.0	0.0	0.0	0.0
Locus_3_A14	0.0	0.0	0.0	0.0
Locus_6_A4	0.0	0.0	0.0	0.0
Locus_6_A14	0.0	0.0	0.0	0.0
Locus_5_A8	0.0	0.0	0.0	0.0
Locus_5_A16	0.0	0.0	0.0	0.0
