scores	parameters
-2.74046006000241	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 100
-2.7440102099045833	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 6, 'model__n_estimators': 100
-2.74514602321115	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 200
-2.761795789767654	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 6, 'model__n_estimators': 200
-2.7799102237078213	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 100
-2.8225759887812614	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_split': 6, 'model__n_estimators': 200
-2.8261133714677107	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 200
-2.8393311365206317	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 100
-2.8619104330769907	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_split': 6, 'model__n_estimators': 100
-2.865899353019813	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 6, 'model__n_estimators': 200
-2.9570284006006133	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 100
-3.0143527000226635	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 200
-3.1389214923986737	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_split': 6, 'model__n_estimators': 200
-3.1629403806019214	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 6, 'model__n_estimators': 100
-3.2410627786984016	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_split': 2, 'model__n_estimators': 200
-3.2481158065538134	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f82132104a0>, 'model__bootstrap': True, 'model__max_depth': 15, 'model__max_features': 'sqrt', 'model__min_samples_split': 6, 'model__n_estimators': 100
