feature	importance
Locus_9_A9	8.041193
Locus_10_A19	8.041129
Locus_2_missing	6.897318
Locus_8_A8	6.312262
Locus_10_A13	5.951768
Locus_6_A9	5.95169
Locus_9_A7	5.951668
Locus_10_A2	5.716644
Locus_5_A15	5.708026
Locus_5_A5	5.520784
Locus_1_A7	5.164606
Locus_9_A8	5.006978
Locus_5_A16	4.16999
Locus_2_A13	4.169976
Locus_6_A4	4.169962
Locus_1_A12	4.169891
Locus_1_A4	4.167082
Locus_3_A8	3.657522
Locus_2_A2	3.342224
Locus_4_A5	3.223458
Locus_10_A8	3.191728
Locus_6_A6	3.186788
Locus_4_A7	2.982215
Locus_2_A5	2.977386
Locus_10_A10	2.808262
Locus_4_A4	2.808238
Locus_9_A4	2.808237
Locus_8_A3	2.808236
Locus_7_A5	2.440339
Locus_5_A18	2.333456
Locus_3_A14	1.938495
Locus_10_A18	1.814622
Locus_2_A7	1.814596
Locus_1_A6	1.814588
Locus_2_A8	1.73286
Locus_9_A12	1.645199
Locus_10_A17	1.645088
Locus_3_A15	1.353311
Locus_4_A16	1.353311
Locus_8_A6	1.307299
Locus_5_A17	1.28539
Locus_8_A7	0.990987
Locus_4_A15	0.850226
Locus_6_A5	0.825732
Locus_7_A6	0.597941
Locus_6_A14	0.579842
Locus_1_A8	0.555731
Locus_7_A7	0.428602
Locus_5_A8	0.216223
Locus_3_A3	0.171804
