feature	train_mean	train_std	test_mean	test_std
Locus_10_A2	2.533422	0.106442	2.306654	0.375073
Locus_10_A13	1.340221	0.127659	1.222587	0.295777
Locus_2_A2	1.336906	0.153979	1.220136	0.219685
Locus_8_A6	0.938958	0.140635	0.350852	0.147121
Locus_2_A7	0.938953	0.140634	0.350848	0.147121
Locus_1_A6	0.938921	0.140632	0.350827	0.14712
Locus_3_A8	0.923911	0.08188	0.839986	0.228083
Locus_9_A4	0.888471	0.080625	0.814462	0.262284
Locus_1_A8	0.70478	0.097761	0.713719	0.150935
Locus_8_A3	0.606276	0.084296	0.272848	0.093685
Locus_10_A8	0.583131	0.11956	-0.142867	0.148219
Locus_5_A16	0.507421	0.091593	0.589719	0.175562
Locus_2_A8	0.485032	0.071813	0.55752	0.131094
Locus_7_A5	0.477703	0.066034	0.480214	0.160126
Locus_2_missing	0.462638	0.063037	0.280714	0.073738
Locus_10_A10	0.347009	0.059585	0.402143	0.149001
Locus_6_A6	0.347004	0.059585	0.402138	0.149
Locus_6_A9	0.257532	0.052617	0.293638	0.20039
Locus_10_A19	0.25535	0.037687	-0.025781	0.064368
Locus_3_A14	0.255344	0.037686	-0.025783	0.064367
Locus_2_A13	0.255342	0.037686	-0.025784	0.064367
Locus_8_A8	0.206432	0.03839	0.118186	0.121437
Locus_1_A12	0.200147	0.032073	0.065604	0.047255
Locus_4_A15	0.179374	0.062065	-0.071312	0.055916
Locus_3_A15	0.123631	0.045863	0.138539	0.066626
Locus_4_A16	0.119186	0.029296	-0.054538	0.048178
Locus_6_A14	0.119186	0.029296	-0.054538	0.048178
Locus_10_A18	0.098695	0.049248	0.077231	0.089785
Locus_8_A7	0.084114	0.041329	-0.066716	0.052625
Locus_5_A8	0.039922	0.028405	-0.06357	0.025279
Locus_9_A9	0.018904	0.012904	-0.001144	0.029154
Locus_2_A5	0.006327	0.01011	-0.010728	0.027059
Locus_4_A7	0.001544	0.003777	-0.006613	0.009452
Locus_9_A7	7.9e-05	0.008581	0.001989	0.013215
Locus_5_A5	0.0	0.0	0.0	0.0
Locus_3_A3	0.0	0.0	0.0	0.0
Locus_9_A8	0.0	0.0	0.0	0.0
Locus_10_A17	0.0	0.0	0.0	0.0
Locus_9_A12	0.0	0.0	0.0	0.0
Locus_1_A4	0.0	0.0	0.0	0.0
Locus_1_A7	0.0	0.0	0.0	0.0
Locus_7_A7	0.0	0.0	0.0	0.0
Locus_5_A18	0.0	0.0	0.0	0.0
Locus_7_A6	0.0	0.0	0.0	0.0
Locus_4_A4	0.0	0.0	0.0	0.0
Locus_5_A15	0.0	0.0	0.0	0.0
Locus_6_A5	0.0	0.0	0.0	0.0
Locus_6_A4	0.0	0.0	0.0	0.0
Locus_5_A17	0.0	0.0	0.0	0.0
Locus_4_A5	0.0	0.0	0.0	0.0
