feature	train_mean	train_std	test_mean	test_std
Locus_9_A8	1.292626	0.140413	1.151963	0.774406
Locus_7_A7	0.94211	0.132806	0.811048	0.379463
Locus_1_A12	0.922127	0.134702	1.094403	0.358989
Locus_5_A16	0.922127	0.134702	1.094403	0.358989
Locus_6_A4	0.922127	0.134702	1.094403	0.358989
Locus_2_A13	0.922127	0.134702	1.094403	0.358989
Locus_9_A9	0.876116	0.115986	0.725877	0.254293
Locus_10_A19	0.876116	0.115986	0.725877	0.254293
Locus_3_A6	0.63959	0.145391	0.506085	0.305643
Locus_8_A13	0.586401	0.123158	0.398745	0.27391
Locus_6_A9	0.586401	0.123158	0.398745	0.27391
Locus_9_A7	0.586401	0.123158	0.398745	0.27391
Locus_10_A13	0.586401	0.123158	0.398745	0.27391
Locus_1_A4	0.546549	0.068998	0.435483	0.324534
Locus_8_A2	0.511116	0.073538	0.116915	0.025784
Locus_2_missing	0.483438	0.061911	0.096297	0.006004
Locus_6_A6	0.458189	0.099909	0.427662	0.278269
Locus_7_A5	0.439237	0.071332	0.828312	0.288853
Locus_4_A7	0.437318	0.109358	0.354337	0.286903
Locus_6_A14	0.425365	0.08896	0.115017	0.041614
Locus_8_A8	0.424147	0.083798	0.383226	0.200828
Locus_1_A7	0.402164	0.088787	0.200767	0.144325
Locus_4_A15	0.378634	0.072725	0.610321	0.19635
Locus_2_A7	0.336895	0.050881	0.400939	0.339006
Locus_10_A18	0.336895	0.050881	0.400939	0.339006
Locus_1_A6	0.336895	0.050881	0.400939	0.339006
Locus_6_A5	0.331107	0.097398	0.476713	0.37484
Locus_2_A8	0.326211	0.076817	0.249393	0.242849
Locus_5_A8	0.324399	0.102792	0.418916	0.370033
Locus_5_A5	0.316368	0.038751	0.404686	0.212364
Locus_4_A17	0.289096	0.077864	0.214554	0.23606
Locus_2_A5	0.284116	0.093717	0.404227	0.341737
Locus_7_A10	0.279687	0.107506	0.274734	0.274634
Locus_3_A15	0.273247	0.072437	0.298855	0.331577
Locus_4_A16	0.273247	0.072437	0.298855	0.331577
Locus_5_A18	0.241171	0.099716	0.192863	0.067167
Locus_8_A3	0.193378	0.060266	0.21224	0.236939
Locus_9_A4	0.193378	0.060266	0.21224	0.236939
Locus_10_A10	0.193378	0.060266	0.21224	0.236939
Locus_4_A4	0.193378	0.060266	0.21224	0.236939
Locus_3_A3	0.186615	0.059642	0.21224	0.236939
Locus_8_A7	0.181763	0.044277	0.286186	0.29681
Locus_5_A17	0.167064	0.072429	0.204458	0.216885
Locus_3_A8	0.159094	0.07758	0.141886	0.1841
Locus_1_A1	0.123461	0.055616	0.090924	0.04697
Locus_3_A14	0.114103	0.037656	-0.04605	0.03847
Locus_4_A5	0.102344	0.046519	0.090063	0.153024
Locus_9_A12	0.062269	0.040766	0.063493	0.0865
Locus_10_A17	0.062269	0.040766	0.063493	0.0865
Locus_8_A5	0.050163	0.026097	0.11421	0.215461
