scores	parameters
-2.8955324036834975	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff1759044a0>, 'model__C': 10, 'model__degree': 3, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': -1, 'model__tol': 0.0001
-2.9076912121129377	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff1759044a0>, 'model__C': 10, 'model__degree': 2, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': -1, 'model__tol': 0.0001
-2.9411613889260275	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff1759044a0>, 'model__C': 10, 'model__degree': 2, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': -1, 'model__tol': 0.0001
-2.9543658981365937	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff1759044a0>, 'model__C': 10, 'model__degree': 2, 'model__epsilon': 0.1, 'model__gamma': 0.01, 'model__kernel': 'linear', 'model__max_iter': -1, 'model__tol': 0.0001
-3.006303978569837	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff1759044a0>, 'model__C': 10, 'model__degree': 3, 'model__epsilon': 0.1, 'model__gamma': 0.01, 'model__kernel': 'linear', 'model__max_iter': -1, 'model__tol': 0.0001
-3.2077786852413346	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff1759044a0>, 'model__C': 10, 'model__degree': 2, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'poly', 'model__max_iter': -1, 'model__tol': 0.0001
-3.274843230061591	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff1759044a0>, 'model__C': 10, 'model__degree': 3, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'linear', 'model__max_iter': -1, 'model__tol': 0.0001
-3.4152969317955546	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff1759044a0>, 'model__C': 10, 'model__degree': 2, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': -1, 'model__tol': 0.0001
-3.5249073809693163	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff1759044a0>, 'model__C': 10, 'model__degree': 3, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'rbf', 'model__max_iter': -1, 'model__tol': 0.0001
-3.8752127861463777	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7ff1759044a0>, 'model__C': 10, 'model__degree': 3, 'model__epsilon': 0.1, 'model__gamma': 'scale', 'model__kernel': 'poly', 'model__max_iter': -1, 'model__tol': 0.0001
