feature	importance
Locus_2_A13	6764.461914
Locus_1_A12	1280.379028
Locus_1_A7	562.83313
Locus_9_A9	524.80304
Locus_10_A18	299.643585
Locus_6_A14	266.783844
Locus_1_A4	254.369339
Locus_9_A4	247.917725
Locus_5_A5	242.795731
Locus_1_A6	166.281952
Locus_10_A19	152.977295
Locus_10_A10	115.157532
Locus_4_A7	62.452625
Locus_9_A3	43.623768
Locus_10_A13	25.638718
Locus_3_A15	20.446764
Locus_8_A6	16.213259
Locus_6_A5	11.36411
Locus_4_A17	10.276592
Locus_6_A9	8.917771
Locus_7_A6	5.630023
Locus_2_A2	5.428356
Locus_3_A16	5.423945
Locus_10_A8	5.382963
Locus_2_A5	5.312401
Locus_8_A7	5.136432
Locus_2_A8	4.069038
Locus_3_A3	4.03577
Locus_7_A7	3.474576
Locus_4_A15	3.445477
Locus_7_missing	3.442065
Locus_3_A6	3.293364
Locus_6_A6	3.291516
Locus_5_A17	3.172677
Locus_9_A8	3.11683
Locus_3_A8	2.127427
Locus_3_A14	1.830193
Locus_4_A16	1.804676
Locus_7_A5	1.66455
Locus_5_A8	1.626657
Locus_4_A4	1.381836
Locus_7_A10	1.001228
Locus_5_A18	0.793769
Locus_9_A7	0.0
Locus_2_A7	0.0
Locus_6_A4	0.0
Locus_8_A8	0.0
Locus_8_A3	0.0
Locus_8_A13	0.0
Locus_5_A16	0.0
