feature	train_mean	train_std	test_mean	test_std
Locus_1_A7	14.94123	0.719935	13.358755	0.437286
Locus_10_A10	2.835825	0.241484	2.894443	0.47578
Locus_3_A14	1.530178	0.185342	0.675902	0.166261
Locus_1_A12	1.222321	0.17586	-0.32771	0.200038
Locus_2_A7	0.948869	0.152923	0.841714	0.393246
Locus_10_A2	0.855267	0.054852	0.851566	0.181646
Locus_9_A9	0.776774	0.095232	0.776434	0.164442
Locus_10_A19	0.55998	0.07407	0.707334	0.116025
Locus_2_A2	0.424661	0.096306	0.48736	0.112376
Locus_2_A5	0.314146	0.059219	0.437381	0.074959
Locus_9_A8	0.300025	0.050895	0.234098	0.083504
Locus_5_A17	0.194023	0.033454	0.134469	0.093978
Locus_10_A13	0.056567	0.027535	0.037963	0.033856
Locus_4_A5	0.047408	0.04615	-0.230502	0.0164
Locus_10_A18	0.044405	0.007467	0.043742	0.010495
Locus_8_A13	0.028273	0.019722	0.022015	0.041419
Locus_6_A6	0.019723	0.005278	-0.030241	0.012212
Locus_8_A7	0.017707	0.015939	-0.065861	0.021971
Locus_8_A6	0.010153	0.007681	0.007106	0.011233
Locus_3_A15	0.0085	0.003806	-0.020498	0.005649
Locus_8_A8	0.008104	0.002563	-0.014848	0.008864
Locus_7_A6	0.007385	0.003993	-0.008165	0.005869
Locus_4_A7	0.005987	0.003778	0.000704	0.00286
Locus_3_A3	0.005533	0.007123	-0.019512	0.012811
Locus_4_A15	0.003828	0.003961	0.003067	0.003633
Locus_7_A7	0.002926	0.001908	0.009934	0.003711
Locus_5_A8	0.002201	0.001378	0.003386	0.002325
Locus_9_A10	0.000929	0.000639	0.002237	0.000873
Locus_3_A8	4.2e-05	0.002884	0.007976	0.002096
Locus_7_A5	0.0	0.0	0.0	0.0
Locus_9_A3	0.0	0.0	0.0	0.0
Locus_8_A5	0.0	0.0	0.0	0.0
Locus_8_A3	0.0	0.0	0.0	0.0
Locus_9_A4	0.0	0.0	0.0	0.0
Locus_9_A7	0.0	0.0	0.0	0.0
Locus_1_A4	0.0	0.0	0.0	0.0
Locus_6_A9	0.0	0.0	0.0	0.0
Locus_6_A5	0.0	0.0	0.0	0.0
Locus_6_A4	0.0	0.0	0.0	0.0
Locus_6_A14	0.0	0.0	0.0	0.0
Locus_5_missing	0.0	0.0	0.0	0.0
Locus_1_A6	0.0	0.0	0.0	0.0
Locus_5_A18	0.0	0.0	0.0	0.0
Locus_5_A15	0.0	0.0	0.0	0.0
Locus_4_A4	0.0	0.0	0.0	0.0
Locus_4_A16	0.0	0.0	0.0	0.0
Locus_10_A17	0.0	0.0	0.0	0.0
Locus_2_A8	0.0	0.0	0.0	0.0
Locus_2_A13	0.0	0.0	0.0	0.0
Locus_5_A16	0.0	0.0	0.0	0.0
