scores	parameters
-2.9684566020965577	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f001fad04a0>, 'model__colsample_bytree': 0.7, 'model__gamma': 0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 50, 'model__subsample': 0.8
-3.0259661197662355	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f001fad04a0>, 'model__colsample_bytree': 0.7, 'model__gamma': 0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 0.7
-3.0390841960906982	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f001fad04a0>, 'model__colsample_bytree': 0.7, 'model__gamma': 0, 'model__importance_type': 'gain', 'model__learning_rate': 0.2, 'model__max_depth': 4, 'model__n_estimators': 50, 'model__subsample': 0.8
-3.049661636352539	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f001fad04a0>, 'model__colsample_bytree': 0.7, 'model__gamma': 0, 'model__importance_type': 'gain', 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 0.7
-3.069858264923096	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f001fad04a0>, 'model__colsample_bytree': 0.7, 'model__gamma': 0, 'model__importance_type': 'gain', 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 0.8
-3.078470230102539	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f001fad04a0>, 'model__colsample_bytree': 0.7, 'model__gamma': 0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 50, 'model__subsample': 0.7
-3.0892224073410035	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f001fad04a0>, 'model__colsample_bytree': 0.7, 'model__gamma': 0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 0.7
-3.248832178115845	'feature_selection__k': 50, 'feature_selection__score_func': <function mutual_info_regression at 0x7f001fad04a0>, 'model__colsample_bytree': 0.7, 'model__gamma': 0, 'model__importance_type': 'gain', 'model__learning_rate': 0.2, 'model__max_depth': 3, 'model__n_estimators': 50, 'model__subsample': 0.8
-3.25360369682312	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f001fad04a0>, 'model__colsample_bytree': 0.7, 'model__gamma': 0, 'model__importance_type': 'gain', 'model__learning_rate': 0.2, 'model__max_depth': 5, 'model__n_estimators': 50, 'model__subsample': 0.7
-3.273245096206665	'feature_selection__k': 25, 'feature_selection__score_func': <function mutual_info_regression at 0x7f001fad04a0>, 'model__colsample_bytree': 0.7, 'model__gamma': 0, 'model__importance_type': 'gain', 'model__learning_rate': 0.1, 'model__max_depth': 4, 'model__n_estimators': 50, 'model__subsample': 0.7
