sample	Locus_1	Locus_2	Locus_3	Locus_4	Locus_5	Locus_6	Locus_7	Locus_8	Locus_9	Locus_10
S1.1.01	A3	A2	A3	A4	A5	A6	A7	A3	A4	A10
S1.1.02	A8	A5	A3	A4	A5	A6	A7	A3	A4	A10
S1.1.03	A6	A7	A6	A2	A17	A5	A6	A7	A8	A18
S1.1.04	A12	A13	A8	A5	A16	A4	A5	A6	A12	A17
S1.1.05	A6	A7	A15	A16	A3	A14	A6	A7	A8	A18
S1.1.06	A6	A7	A15	A16	A8	A5	A6	A7	A8	A18
S1.1.07	A7		A9	A10	A11	A14	A3	A2	A10	A16
S1.1.08	A6	A7	A15	A16	A17	A5	A7	A5	A8	A18
S1.1.09	A12	A13	A14	A15	A16	A4	A5	A6	A3	A2
S1.1.10	A12	A13	A14	A15	A16	A4	A5	A6	A8	A8
S1.1.11	A6	A7	A15	A16	A17	A5	A3	A2	A8	A18
S1.1.12	A12	A13	A14	A15	A16	A4		A8	A12	A17
S1.1.13	A1	A2	A3	A4		A14	A7	A3	A4	A10
S1.1.14	A7	A8	A16	A17	A15	A5	A7	A8	A9	A19
S1.1.16	A7	A8	A8	A7	A18	A6	A7	A8	A9	A19
S1.1.17	A7	A8	A8	A5	A18	A6	A7	A8	A9	A19
S1.1.18	A8	A2	A6	A7	A8	A9	A10	A13	A7	A13
S1.1.19	A4	A5	A16	A17	A18	A6	A7	A8	A9	A19
S1.1.15	A4	A5	A6	A7	A8	A9	A10	A13	A7	A13
S1.1.20	A4	A5	A6	A7	A8	A9	A10	A13	A7	A13
